variable,country,state,educ,group,gar_
Gross Attendance Ratio (GAR),India,Haryana,primaryandupperprima,Rural Male,100.7
Gross Attendance Ratio (GAR),India,Haryana,primaryandupperprima,Total,101.3
Gross Attendance Ratio (GAR),India,Haryana,primaryandupperprima,Urban,100.5
Gross Attendance Ratio (GAR),India,Haryana,primaryandupperprima,Urban Female,104.8
Gross Attendance Ratio (GAR),India,Haryana,primaryandupperprima,Urban Male,97.5
Gross Attendance Ratio (GAR),India,Haryana,primarylevel,Female,109.7
Gross Attendance Ratio (GAR),India,Haryana,primarylevel,Male,104.3
Gross Attendance Ratio (GAR),India,Haryana,primarylevel,Rural,108.3
Gross Attendance Ratio (GAR),India,Haryana,primarylevel,Rural Female,112.7
Gross Attendance Ratio (GAR),India,Haryana,primarylevel,Rural Male,105.9
Gross Attendance Ratio (GAR),India,Haryana,primarylevel,Total,106.3
Gross Attendance Ratio (GAR),India,Haryana,primarylevel,Urban,102
Gross Attendance Ratio (GAR),India,Haryana,primarylevel,Urban Female,104.2
Gross Attendance Ratio (GAR),India,Haryana,primarylevel,Urban Male,100.6
Gross Attendance Ratio (GAR),India,Haryana,secondarylevel,Female,91.5
Gross Attendance Ratio (GAR),India,Haryana,secondarylevel,Male,100.1
Gross Attendance Ratio (GAR),India,Haryana,secondarylevel,Rural,96.699997
Gross Attendance Ratio (GAR),India,Haryana,secondarylevel,Rural Female,96.5
Gross Attendance Ratio (GAR),India,Haryana,secondarylevel,Rural Male,96.800003
Gross Attendance Ratio (GAR),India,Haryana,secondarylevel,Total,96.699997
Gross Attendance Ratio (GAR),India,Haryana,secondarylevel,Urban,96.800003
Gross Attendance Ratio (GAR),India,Haryana,secondarylevel,Urban Female,77
Gross Attendance Ratio (GAR),India,Haryana,secondarylevel,Urban Male,108.7
Gross Attendance Ratio (GAR),India,Haryana,upperprimarymiddlelevel,Female,95.699997
Gross Attendance Ratio (GAR),India,Haryana,upperprimarymiddlelevel,Male,92.5
Gross Attendance Ratio (GAR),India,Haryana,upperprimarymiddlelevel,Rural,92.300003
Gross Attendance Ratio (GAR),India,Haryana,upperprimarymiddlelevel,Rural Female,91.5
Gross Attendance Ratio (GAR),India,Haryana,upperprimarymiddlelevel,Rural Male,92.800003
Gross Attendance Ratio (GAR),India,Haryana,upperprimarymiddlelevel,Total,93.800003
Gross Attendance Ratio (GAR),India,Haryana,upperprimarymiddlelevel,Urban,97.699997
Gross Attendance Ratio (GAR),India,Haryana,upperprimarymiddlelevel,Urban Female,105.7
Gross Attendance Ratio (GAR),India,Haryana,upperprimarymiddlelevel,Urban Male,91.699997
Gross Attendance Ratio (GAR),India,Himachal Pradesh,highersecondarylevel,Female,114.6
Gross Attendance Ratio (GAR),India,Himachal Pradesh,highersecondarylevel,Male,105.5
Gross Attendance Ratio (GAR),India,Himachal Pradesh,highersecondarylevel,Rural,109.1
Gross Attendance Ratio (GAR),India,Himachal Pradesh,highersecondarylevel,Rural Female,114.4
Gross Attendance Ratio (GAR),India,Himachal Pradesh,highersecondarylevel,Rural Male,104.4
Gross Attendance Ratio (GAR),India,Himachal Pradesh,highersecondarylevel,Total,110
Gross Attendance Ratio (GAR),India,Himachal Pradesh,highersecondarylevel,Urban,118.4
Gross Attendance Ratio (GAR),India,Himachal Pradesh,highersecondarylevel,Urban Female,116.4
Gross Attendance Ratio (GAR),India,Himachal Pradesh,highersecondarylevel,Urban Male,121.9
Gross Attendance Ratio (GAR),India,Himachal Pradesh,posthighersecondarylevel,Female,35.799999
Gross Attendance Ratio (GAR),India,Himachal Pradesh,posthighersecondarylevel,Male,32.099998
Gross Attendance Ratio (GAR),India,Himachal Pradesh,posthighersecondarylevel,Rural,32
Gross Attendance Ratio (GAR),India,Himachal Pradesh,posthighersecondarylevel,Rural Female,34.5
Gross Attendance Ratio (GAR),India,Himachal Pradesh,posthighersecondarylevel,Rural Male,29
Gross Attendance Ratio (GAR),India,Himachal Pradesh,posthighersecondarylevel,Total,34.099998
Gross Attendance Ratio (GAR),India,Himachal Pradesh,posthighersecondarylevel,Urban,53.400002
Gross Attendance Ratio (GAR),India,Himachal Pradesh,posthighersecondarylevel,Urban Female,48.900002
Gross Attendance Ratio (GAR),India,Himachal Pradesh,posthighersecondarylevel,Urban Male,58.099998
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primaryandupperprima,Female,97.699997
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primaryandupperprima,Male,94.599998
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primaryandupperprima,Rural,96
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primaryandupperprima,Rural Female,97.699997
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primaryandupperprima,Rural Male,94.5
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primaryandupperprima,Total,96.099998
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primaryandupperprima,Urban,97.099998
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primaryandupperprima,Urban Female,97.900002
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primaryandupperprima,Urban Male,96
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primarylevel,Female,98.400002
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primarylevel,Male,100.1
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primarylevel,Rural,99.099998
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primarylevel,Rural Female,98.199997
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primarylevel,Rural Male,100
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primarylevel,Total,99.300003
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primarylevel,Urban,100.5
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primarylevel,Urban Female,100.3
Gross Attendance Ratio (GAR),India,Himachal Pradesh,primarylevel,Urban Male,100.7
Gross Attendance Ratio (GAR),India,Himachal Pradesh,secondarylevel,Female,93.900002
Gross Attendance Ratio (GAR),India,Himachal Pradesh,secondarylevel,Male,107.1
Gross Attendance Ratio (GAR),India,Himachal Pradesh,secondarylevel,Rural,100.8
Gross Attendance Ratio (GAR),India,Himachal Pradesh,secondarylevel,Rural Female,92.699997
Gross Attendance Ratio (GAR),India,Himachal Pradesh,secondarylevel,Rural Male,107.5
Gross Attendance Ratio (GAR),India,Himachal Pradesh,secondarylevel,Total,100.9
Gross Attendance Ratio (GAR),India,Himachal Pradesh,secondarylevel,Urban,101.7
Gross Attendance Ratio (GAR),India,Himachal Pradesh,secondarylevel,Urban Female,101.6
Gross Attendance Ratio (GAR),India,Himachal Pradesh,secondarylevel,Urban Male,101.9
Gross Attendance Ratio (GAR),India,Himachal Pradesh,upperprimarymiddlelevel,Female,96.699997
Gross Attendance Ratio (GAR),India,Himachal Pradesh,upperprimarymiddlelevel,Male,88.199997
Gross Attendance Ratio (GAR),India,Himachal Pradesh,upperprimarymiddlelevel,Rural,92.199997
Gross Attendance Ratio (GAR),India,Himachal Pradesh,upperprimarymiddlelevel,Rural Female,97
Gross Attendance Ratio (GAR),India,Himachal Pradesh,upperprimarymiddlelevel,Rural Male,88.400002
Gross Attendance Ratio (GAR),India,Himachal Pradesh,upperprimarymiddlelevel,Total,92.099998
Gross Attendance Ratio (GAR),India,Himachal Pradesh,upperprimarymiddlelevel,Urban,90.699997
Gross Attendance Ratio (GAR),India,Himachal Pradesh,upperprimarymiddlelevel,Urban Female,94.099998
Gross Attendance Ratio (GAR),India,Himachal Pradesh,upperprimarymiddlelevel,Urban Male,84.099998
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,highersecondarylevel,Female,81.199997
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,highersecondarylevel,Male,73.599998
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,highersecondarylevel,Rural,73.900002
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,highersecondarylevel,Rural Female,78.699997
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,highersecondarylevel,Rural Male,69.800003
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,highersecondarylevel,Total,77
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,highersecondarylevel,Urban,90.099998
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,highersecondarylevel,Urban Female,95.5
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,highersecondarylevel,Urban Male,87.099998
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,posthighersecondarylevel,Female,31.1
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,posthighersecondarylevel,Male,34.900002
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,posthighersecondarylevel,Rural,30.1
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,posthighersecondarylevel,Rural Female,26.4
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,posthighersecondarylevel,Rural Male,33.700001
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,posthighersecondarylevel,Total,33.099998
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,posthighersecondarylevel,Urban,43.400002
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,posthighersecondarylevel,Urban Female,50.799999
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,posthighersecondarylevel,Urban Male,38.5
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primaryandupperprima,Female,99
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primaryandupperprima,Male,101.1
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primaryandupperprima,Rural,100.7
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primaryandupperprima,Rural Female,99.199997
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primaryandupperprima,Rural Male,101.7
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primaryandupperprima,Total,100.2
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primaryandupperprima,Urban,98.400002
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primaryandupperprima,Urban Female,98
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primaryandupperprima,Urban Male,98.599998
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primarylevel,Female,96.900002
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primarylevel,Male,105.6
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primarylevel,Rural,101.4
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primarylevel,Rural Female,95.800003
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primarylevel,Rural Male,105.6
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primarylevel,Total,101.9
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primarylevel,Urban,103.9
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primarylevel,Urban Female,101.7
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,primarylevel,Urban Male,105.5
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,secondarylevel,Female,110.2
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,secondarylevel,Male,119.9
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,secondarylevel,Rural,117.1
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,secondarylevel,Rural Female,112.5
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,secondarylevel,Rural Male,120.6
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,secondarylevel,Total,115.7
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,secondarylevel,Urban,110.5
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,secondarylevel,Urban Female,101.9
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,secondarylevel,Urban Male,117.3
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,upperprimarymiddlelevel,Female,103.1
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,upperprimarymiddlelevel,Male,92.199997
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,upperprimarymiddlelevel,Rural,99.099998
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,upperprimarymiddlelevel,Rural Female,106.1
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,upperprimarymiddlelevel,Rural Male,93.699997
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,upperprimarymiddlelevel,Total,96.900002
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,upperprimarymiddlelevel,Urban,89
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,upperprimarymiddlelevel,Urban Female,91.699997
Gross Attendance Ratio (GAR),India,Jammu & Kashmir,upperprimarymiddlelevel,Urban Male,87.199997
Gross Attendance Ratio (GAR),India,Jharkhand,highersecondarylevel,Female,42.200001
Gross Attendance Ratio (GAR),India,Jharkhand,highersecondarylevel,Male,59.400002
Gross Attendance Ratio (GAR),India,Jharkhand,highersecondarylevel,Rural,44.799999
Gross Attendance Ratio (GAR),India,Jharkhand,highersecondarylevel,Rural Female,34.299999
Gross Attendance Ratio (GAR),India,Jharkhand,highersecondarylevel,Rural Male,54.5
Gross Attendance Ratio (GAR),India,Jharkhand,highersecondarylevel,Total,51.299999
Gross Attendance Ratio (GAR),India,Jharkhand,highersecondarylevel,Urban,73.699997
Gross Attendance Ratio (GAR),India,Jharkhand,highersecondarylevel,Urban Female,72
Gross Attendance Ratio (GAR),India,Jharkhand,highersecondarylevel,Urban Male,75
Gross Attendance Ratio (GAR),India,Jharkhand,posthighersecondarylevel,Female,15.6
Gross Attendance Ratio (GAR),India,Jharkhand,posthighersecondarylevel,Male,17.9
Gross Attendance Ratio (GAR),India,Jharkhand,posthighersecondarylevel,Rural,12.9
Gross Attendance Ratio (GAR),India,Jharkhand,posthighersecondarylevel,Rural Female,7.9000001
Gross Attendance Ratio (GAR),India,Jharkhand,posthighersecondarylevel,Rural Male,17.4
Gross Attendance Ratio (GAR),India,Jharkhand,posthighersecondarylevel,Total,16.799999
Gross Attendance Ratio (GAR),India,Jharkhand,posthighersecondarylevel,Urban,30.1
Gross Attendance Ratio (GAR),India,Jharkhand,posthighersecondarylevel,Urban Female,41.799999
Gross Attendance Ratio (GAR),India,Jharkhand,posthighersecondarylevel,Urban Male,19.700001
Gross Attendance Ratio (GAR),India,Jharkhand,primaryandupperprima,Female,103.9
Gross Attendance Ratio (GAR),India,Jharkhand,primaryandupperprima,Male,106.6
Gross Attendance Ratio (GAR),India,Jharkhand,primaryandupperprima,Rural,104.9
Gross Attendance Ratio (GAR),India,Jharkhand,primaryandupperprima,Rural Female,103.2
Gross Attendance Ratio (GAR),India,Jharkhand,primaryandupperprima,Rural Male,106.5
Gross Attendance Ratio (GAR),India,Jharkhand,primaryandupperprima,Total,105.3
Gross Attendance Ratio (GAR),India,Jharkhand,primaryandupperprima,Urban,107.2
Gross Attendance Ratio (GAR),India,Jharkhand,primaryandupperprima,Urban Female,107.5
Gross Attendance Ratio (GAR),India,Jharkhand,primaryandupperprima,Urban Male,107
Gross Attendance Ratio (GAR),India,Jharkhand,primarylevel,Female,108.9
Gross Attendance Ratio (GAR),India,Jharkhand,primarylevel,Male,115.5
Gross Attendance Ratio (GAR),India,Jharkhand,primarylevel,Rural,111.2
Gross Attendance Ratio (GAR),India,Jharkhand,primarylevel,Rural Female,108.8
Gross Attendance Ratio (GAR),India,Jharkhand,primarylevel,Rural Male,113.2
Gross Attendance Ratio (GAR),India,Jharkhand,primarylevel,Total,112.4
Gross Attendance Ratio (GAR),India,Jharkhand,primarylevel,Urban,119.7
Gross Attendance Ratio (GAR),India,Jharkhand,primarylevel,Urban Female,109.5
Gross Attendance Ratio (GAR),India,Jharkhand,primarylevel,Urban Male,128
Gross Attendance Ratio (GAR),India,Jharkhand,secondarylevel,Female,91
Gross Attendance Ratio (GAR),India,Jharkhand,secondarylevel,Male,89.199997
Gross Attendance Ratio (GAR),India,Jharkhand,secondarylevel,Rural,88.400002
Gross Attendance Ratio (GAR),India,Jharkhand,secondarylevel,Rural Female,93.199997
Gross Attendance Ratio (GAR),India,Jharkhand,secondarylevel,Rural Male,84.900002
Gross Attendance Ratio (GAR),India,Jharkhand,secondarylevel,Total,90
Gross Attendance Ratio (GAR),India,Jharkhand,secondarylevel,Urban,96.900002
Gross Attendance Ratio (GAR),India,Jharkhand,secondarylevel,Urban Female,84.099998
Gross Attendance Ratio (GAR),India,Jharkhand,secondarylevel,Urban Male,112.7
Gross Attendance Ratio (GAR),India,Jharkhand,upperprimarymiddlelevel,Female,93.599998
Gross Attendance Ratio (GAR),India,Jharkhand,upperprimarymiddlelevel,Male,89.5
Gross Attendance Ratio (GAR),India,Jharkhand,upperprimarymiddlelevel,Rural,92.099998
Gross Attendance Ratio (GAR),India,Jharkhand,upperprimarymiddlelevel,Rural Female,91.800003
Gross Attendance Ratio (GAR),India,Jharkhand,upperprimarymiddlelevel,Rural Male,92.400002
Gross Attendance Ratio (GAR),India,Jharkhand,upperprimarymiddlelevel,Total,91.400002
Gross Attendance Ratio (GAR),India,Jharkhand,upperprimarymiddlelevel,Urban,88.199997
Gross Attendance Ratio (GAR),India,Jharkhand,upperprimarymiddlelevel,Urban Female,103.8
Gross Attendance Ratio (GAR),India,Jharkhand,upperprimarymiddlelevel,Urban Male,79
Gross Attendance Ratio (GAR),India,Karnataka,highersecondarylevel,Female,77.800003
Gross Attendance Ratio (GAR),India,Karnataka,highersecondarylevel,Male,69.800003
Gross Attendance Ratio (GAR),India,Karnataka,highersecondarylevel,Rural,68.300003
Gross Attendance Ratio (GAR),India,Karnataka,highersecondarylevel,Rural Female,67.5
Gross Attendance Ratio (GAR),India,Karnataka,highersecondarylevel,Rural Male,68.900002
Gross Attendance Ratio (GAR),India,Karnataka,highersecondarylevel,Total,73.400002
Gross Attendance Ratio (GAR),India,Karnataka,highersecondarylevel,Urban,82.199997
Gross Attendance Ratio (GAR),India,Karnataka,highersecondarylevel,Urban Female,94.699997
Gross Attendance Ratio (GAR),India,Karnataka,highersecondarylevel,Urban Male,71.300003
Gross Attendance Ratio (GAR),India,Karnataka,posthighersecondarylevel,Female,19.6
Gross Attendance Ratio (GAR),India,Karnataka,posthighersecondarylevel,Male,23.4
Gross Attendance Ratio (GAR),India,Karnataka,posthighersecondarylevel,Rural,16.9
Gross Attendance Ratio (GAR),India,Karnataka,posthighersecondarylevel,Rural Female,12.7
Gross Attendance Ratio (GAR),India,Karnataka,posthighersecondarylevel,Rural Male,20
Gross Attendance Ratio (GAR),India,Karnataka,posthighersecondarylevel,Total,21.700001
Gross Attendance Ratio (GAR),India,Karnataka,posthighersecondarylevel,Urban,30
Gross Attendance Ratio (GAR),India,Karnataka,posthighersecondarylevel,Urban Female,30.5
Gross Attendance Ratio (GAR),India,Karnataka,posthighersecondarylevel,Urban Male,29.700001
Gross Attendance Ratio (GAR),India,Karnataka,primaryandupperprima,Female,98
Gross Attendance Ratio (GAR),India,Karnataka,primaryandupperprima,Male,100.3
Gross Attendance Ratio (GAR),India,Karnataka,primaryandupperprima,Rural,99.199997
Gross Attendance Ratio (GAR),India,Karnataka,primaryandupperprima,Rural Female,96.699997
Gross Attendance Ratio (GAR),India,Karnataka,primaryandupperprima,Rural Male,100.9
Gross Attendance Ratio (GAR),India,Karnataka,primaryandupperprima,Total,99.300003
Gross Attendance Ratio (GAR),India,Karnataka,primaryandupperprima,Urban,99.400002
Gross Attendance Ratio (GAR),India,Karnataka,primaryandupperprima,Urban Female,100.2
Gross Attendance Ratio (GAR),India,Karnataka,primaryandupperprima,Urban Male,98.699997
Gross Attendance Ratio (GAR),India,Karnataka,primarylevel,Female,100.8
Gross Attendance Ratio (GAR),India,Karnataka,primarylevel,Male,107.3
Gross Attendance Ratio (GAR),India,Karnataka,primarylevel,Rural,103.6
Gross Attendance Ratio (GAR),India,Karnataka,primarylevel,Rural Female,98.699997
Gross Attendance Ratio (GAR),India,Karnataka,primarylevel,Rural Male,107.3
Gross Attendance Ratio (GAR),India,Karnataka,primarylevel,Total,104.4
Gross Attendance Ratio (GAR),India,Karnataka,primarylevel,Urban,106
Gross Attendance Ratio (GAR),India,Karnataka,primarylevel,Urban Female,104.6
Gross Attendance Ratio (GAR),India,Karnataka,primarylevel,Urban Male,107.3
Gross Attendance Ratio (GAR),India,Karnataka,secondarylevel,Female,94
Gross Attendance Ratio (GAR),India,Karnataka,secondarylevel,Male,91.099998
Gross Attendance Ratio (GAR),India,Karnataka,secondarylevel,Rural,89.599998
Gross Attendance Ratio (GAR),India,Karnataka,secondarylevel,Rural Female,94.099998
Gross Attendance Ratio (GAR),India,Karnataka,secondarylevel,Rural Male,86.699997
Gross Attendance Ratio (GAR),India,Karnataka,secondarylevel,Total,92.300003
Gross Attendance Ratio (GAR),India,Karnataka,secondarylevel,Urban,98.900002
Gross Attendance Ratio (GAR),India,Karnataka,secondarylevel,Urban Female,93.900002
Gross Attendance Ratio (GAR),India,Karnataka,secondarylevel,Urban Male,102.5
Gross Attendance Ratio (GAR),India,Karnataka,upperprimarymiddlelevel,Female,92.5
Gross Attendance Ratio (GAR),India,Karnataka,upperprimarymiddlelevel,Male,88.400002
Gross Attendance Ratio (GAR),India,Karnataka,upperprimarymiddlelevel,Rural,90.900002
Gross Attendance Ratio (GAR),India,Karnataka,upperprimarymiddlelevel,Rural Female,92.900002
Gross Attendance Ratio (GAR),India,Karnataka,upperprimarymiddlelevel,Rural Male,89.599998
Gross Attendance Ratio (GAR),India,Karnataka,upperprimarymiddlelevel,Total,90.099998
Gross Attendance Ratio (GAR),India,Karnataka,upperprimarymiddlelevel,Urban,88.699997
Gross Attendance Ratio (GAR),India,Karnataka,upperprimarymiddlelevel,Urban Female,91.800003
Gross Attendance Ratio (GAR),India,Karnataka,upperprimarymiddlelevel,Urban Male,86.199997
Gross Attendance Ratio (GAR),India,Kerala,highersecondarylevel,Female,99.199997
Gross Attendance Ratio (GAR),India,Kerala,highersecondarylevel,Male,100.4
Gross Attendance Ratio (GAR),India,Kerala,highersecondarylevel,Rural,103
Gross Attendance Ratio (GAR),India,Kerala,highersecondarylevel,Rural Female,110.2
Gross Attendance Ratio (GAR),India,Kerala,highersecondarylevel,Rural Male,98.199997
Gross Attendance Ratio (GAR),India,Kerala,highersecondarylevel,Total,99.900002
Gross Attendance Ratio (GAR),India,Kerala,highersecondarylevel,Urban,96.099998
Gross Attendance Ratio (GAR),India,Kerala,highersecondarylevel,Urban Female,88.800003
Gross Attendance Ratio (GAR),India,Kerala,highersecondarylevel,Urban Male,103.6
Gross Attendance Ratio (GAR),India,Kerala,posthighersecondarylevel,Female,40.700001
Gross Attendance Ratio (GAR),India,Kerala,posthighersecondarylevel,Male,34.599998
Gross Attendance Ratio (GAR),India,Kerala,posthighersecondarylevel,Rural,37.599998
Gross Attendance Ratio (GAR),India,Kerala,posthighersecondarylevel,Rural Female,37.900002
Gross Attendance Ratio (GAR),India,Kerala,posthighersecondarylevel,Rural Male,37.299999
Gross Attendance Ratio (GAR),India,Kerala,posthighersecondarylevel,Total,37.599998
Gross Attendance Ratio (GAR),India,Kerala,posthighersecondarylevel,Urban,37.599998
Gross Attendance Ratio (GAR),India,Kerala,posthighersecondarylevel,Urban Female,44
Gross Attendance Ratio (GAR),India,Kerala,posthighersecondarylevel,Urban Male,31.6
Gross Attendance Ratio (GAR),India,Kerala,primaryandupperprima,Female,100.2
Gross Attendance Ratio (GAR),India,Kerala,primaryandupperprima,Male,101.5
Gross Attendance Ratio (GAR),India,Kerala,primaryandupperprima,Rural,98.599998
Gross Attendance Ratio (GAR),India,Kerala,primaryandupperprima,Rural Female,97.800003
Gross Attendance Ratio (GAR),India,Kerala,primaryandupperprima,Rural Male,99.300003
Gross Attendance Ratio (GAR),India,Kerala,primaryandupperprima,Total,100.9
Gross Attendance Ratio (GAR),India,Kerala,primaryandupperprima,Urban,103.7
Gross Attendance Ratio (GAR),India,Kerala,primaryandupperprima,Urban Female,102.9
Gross Attendance Ratio (GAR),India,Kerala,primaryandupperprima,Urban Male,104.5
Gross Attendance Ratio (GAR),India,Kerala,primarylevel,Female,102.5
Gross Attendance Ratio (GAR),India,Kerala,primarylevel,Male,104.7
Gross Attendance Ratio (GAR),India,Kerala,primarylevel,Rural,101.3
Gross Attendance Ratio (GAR),India,Kerala,primarylevel,Rural Female,101.3
Gross Attendance Ratio (GAR),India,Kerala,primarylevel,Rural Male,101.4
Gross Attendance Ratio (GAR),India,Kerala,primarylevel,Total,103.6
Gross Attendance Ratio (GAR),India,Kerala,primarylevel,Urban,106.3
Gross Attendance Ratio (GAR),India,Kerala,primarylevel,Urban Female,103.8
Gross Attendance Ratio (GAR),India,Kerala,primarylevel,Urban Male,108.7
Gross Attendance Ratio (GAR),India,Kerala,secondarylevel,Female,96.099998
Gross Attendance Ratio (GAR),India,Kerala,secondarylevel,Male,98
Gross Attendance Ratio (GAR),India,Kerala,secondarylevel,Rural,96.900002
Gross Attendance Ratio (GAR),India,Kerala,secondarylevel,Rural Female,98.900002
Gross Attendance Ratio (GAR),India,Kerala,secondarylevel,Rural Male,95.699997
Gross Attendance Ratio (GAR),India,Kerala,secondarylevel,Total,97.300003
Gross Attendance Ratio (GAR),India,Kerala,secondarylevel,Urban,97.699997
Gross Attendance Ratio (GAR),India,Kerala,secondarylevel,Urban Female,92.300003
Gross Attendance Ratio (GAR),India,Kerala,secondarylevel,Urban Male,101.4
Gross Attendance Ratio (GAR),India,Kerala,upperprimarymiddlelevel,Female,97
Gross Attendance Ratio (GAR),India,Kerala,upperprimarymiddlelevel,Male,97.5
Gross Attendance Ratio (GAR),India,Kerala,upperprimarymiddlelevel,Rural,95
Gross Attendance Ratio (GAR),India,Kerala,upperprimarymiddlelevel,Rural Female,92.800003
Gross Attendance Ratio (GAR),India,Kerala,upperprimarymiddlelevel,Rural Male,96.699997
Gross Attendance Ratio (GAR),India,Kerala,upperprimarymiddlelevel,Total,97.199997
Gross Attendance Ratio (GAR),India,Kerala,upperprimarymiddlelevel,Urban,100.1
Gross Attendance Ratio (GAR),India,Kerala,upperprimarymiddlelevel,Urban Female,101.7
Gross Attendance Ratio (GAR),India,Kerala,upperprimarymiddlelevel,Urban Male,98.5
Gross Attendance Ratio (GAR),India,Madhya Pradesh,highersecondarylevel,Female,56.299999
Gross Attendance Ratio (GAR),India,Madhya Pradesh,highersecondarylevel,Male,63
Gross Attendance Ratio (GAR),India,Madhya Pradesh,highersecondarylevel,Rural,53.299999
Gross Attendance Ratio (GAR),India,Madhya Pradesh,highersecondarylevel,Rural Female,50.5
Gross Attendance Ratio (GAR),India,Madhya Pradesh,highersecondarylevel,Rural Male,55.799999
Gross Attendance Ratio (GAR),India,Madhya Pradesh,highersecondarylevel,Total,59.900002
Gross Attendance Ratio (GAR),India,Madhya Pradesh,highersecondarylevel,Urban,84.699997
Gross Attendance Ratio (GAR),India,Madhya Pradesh,highersecondarylevel,Urban Female,80.400002
Gross Attendance Ratio (GAR),India,Madhya Pradesh,highersecondarylevel,Urban Male,87.699997
Gross Attendance Ratio (GAR),India,Madhya Pradesh,posthighersecondarylevel,Female,15
Gross Attendance Ratio (GAR),India,Madhya Pradesh,posthighersecondarylevel,Male,19.299999
Gross Attendance Ratio (GAR),India,Madhya Pradesh,posthighersecondarylevel,Rural,12.2
Gross Attendance Ratio (GAR),India,Madhya Pradesh,posthighersecondarylevel,Rural Female,9.5
Gross Attendance Ratio (GAR),India,Madhya Pradesh,posthighersecondarylevel,Rural Male,14.4
Gross Attendance Ratio (GAR),India,Madhya Pradesh,posthighersecondarylevel,Total,17.299999
Gross Attendance Ratio (GAR),India,Madhya Pradesh,posthighersecondarylevel,Urban,31.799999
Gross Attendance Ratio (GAR),India,Madhya Pradesh,posthighersecondarylevel,Urban Female,29.4
Gross Attendance Ratio (GAR),India,Madhya Pradesh,posthighersecondarylevel,Urban Male,34
